"","int.time1","int.time2","int.time3","int.time4","int.time5","int.time6","age100.C","BMI_obese.C1","ht_sample.C1","ht_sample.C2","breast_sample.C1","breast_sample.C2","breast_sample.C3","age100.I","BMI_obese.I1","ht_sample.I1","ht_sample.I2","breast_sample.I1","breast_sample.I2","breast_sample.I3","g1[1]","g1[2]","g1[3]","g1[4]","g1[5]","g1[6]","g1[7]","g1[8]","g1[9]","g1[10]","g2[1]","g2[2]","g2[3]","g2[4]","g2[5]","g2[6]","g2[7]","g2[8]","g2[9]","g2[10]","g3[1]","g3[2]","g3[3]","g3[4]","g3[5]","g3[6]","g3[7]","g3[8]","g3[9]","g3[10]","g4[1]","g4[2]","g4[3]","g4[4]","g4[5]","g4[6]","g4[7]","g4[8]","g4[9]","g4[10]","scale","sigma_u1","sigma_u2","sigma_u3","sigma_u4"
"51051",-0.190429849274408,0.569749522117224,-0.024782676716031,-0.831238023956895,-0.861463316923339,-0.672425931725606,-0.669358308098728,-0.149848511742432,0.131749852746338,0.334297263577995,0.611236565109353,0.462573043437402,1.10229219873774,-0.201610639193599,0.313973914871936,-0.0489250942917634,-0.421924600981287,0.857334156083865,0.550786779502173,0.501495377401213,0.262942366625654,0.327515857195311,0.189970110173895,0.211027320885285,-0.210595053775688,0.14329589411858,0.187096992921294,0.14738163897038,1.65529049286987,0.156512452004503,0.310258482778576,0.0751613345942701,0.0967609241497555,0.0170310965468112,-0.00745518781193421,0.027760386726397,0.0616219555416895,0.0307541528510232,0.53888320636421,-1.12525314027674,0.0931647488551532,-0.0310788803165867,0.0474321069688363,-0.0358502394184128,0.00300437772752116,0.0273434915726695,0.0275161278126372,-0.00257419851604744,-0.273639892415871,-0.393599891799386,0.339840053300783,-0.559066583253767,0.34229398561,-0.282289211296686,0.217592023984763,-0.257454316706087,0.246920467834682,-0.178809116719102,-1.87642037073812,0.0962667375640756,0.367340633176428,0.242252592865346,0.310821721389893,0.0934442298304,0.0487835164925191
"51101",-0.118606204367243,0.121958001197196,-0.153742767824282,-0.243076323282552,-0.480703904617577,-0.189606639240246,-0.475342205680315,-0.493887240895959,0.35973350401647,0.904014500023124,0.331692464313179,0.532119600457238,0.482736231910941,-0.115753724156516,0.297106107352774,-0.0724178212118621,-0.505610965599111,0.114447181022099,-0.0709729583858053,-0.00159117336554749,0.527764923594789,0.349810882615165,0.292272085879129,0.119502178320133,-0.162780019255406,0.109262063642839,0.142338559274115,0.144712195003757,1.14362323828923,-0.539508259602291,0.165787771239833,-0.127700697133335,0.00411779062244523,0.143184277769458,0.117393798580735,-0.000235324692472628,0.108890463745905,0.0131032753979336,0.22230117118443,-0.546167413469096,-0.0943117042837685,0.0160239898072854,-0.127685487194457,-0.162060136114173,-0.0760487077964657,-0.0163119334974922,0.00751798612532439,0.0542952409622373,0.277153073614744,-0.240753168455475,-0.741021938249896,-0.568268942723144,0.0766236413475138,-0.278537892517487,0.16131585563609,-0.176617079400139,0.141585609311914,-0.108324624254015,-1.90888779782006,0.994991732211606,0.475512367212278,0.262563692562282,0.328657754473993,0.113878610134175,0.0446801460793741
"51151",0.127542320602616,0.372023474233768,-0.0965541446961869,-0.711492982099583,-0.313281440275097,-0.304304163883883,-0.783235689801285,-0.0630434008624119,-0.394807724300961,0.164023222577684,0.39039249180794,0.75492160990261,0.250004470812711,-0.0585045843491092,0.113391136378485,0.0600333946144039,-0.163548378515199,0.274777224745236,-0.0143875666911495,-0.102038151451801,0.424042669100716,0.394600519311069,0.0783965471986728,0.283497736763286,-0.107726386632976,0.211289402864113,0.175709010172343,0.139256041017974,1.95029119251186,-0.0138147953732246,-0.546190221579994,-0.263898141903421,-0.247831359346481,-0.244788087472256,0.16771220302023,-0.171267128043287,-0.159525799269868,-0.126241657301859,-1.60753873816601,-1.04440653777482,0.27415797864214,-0.204320191751335,0.200854415834647,-0.0802262536457689,0.0298106159034081,-0.100772633637909,0.050362063470548,-0.084763582780313,-0.810236721077902,-0.314748525203981,0.184981890506548,0.145977616094965,-0.0651083904554749,0.0287574219449866,0.0192603121883616,0.0429061963850521,-0.0242056479121306,0.0650067122500537,0.0903855208815093,-0.124750181731583,0.402439430171876,0.235586758343944,0.329009604018307,0.10102174644138,0.0515498719081719
"51201",0.175571492016083,0.665798665151682,0.223579732292147,-0.900272986830464,-0.815624523140274,-0.857691154460819,-0.814881962638221,-0.311218093715954,-0.132404831691171,0.125169060698123,0.359044312385603,0.681680878102639,1.01478880054252,1.18310634741363,-0.150631634816765,0.177319536719434,-0.389160250320507,0.173705909089918,0.0101038528849163,-0.296966853127537,-0.0448710699755637,0.465350618515815,0.206700394068903,0.102772027470699,-0.0329744353397693,0.0791793782391437,0.0347495053000993,0.00673021766993289,0.345136410158761,0.416942194488849,-0.924708022849861,-0.491150802448717,-0.395518658932055,-0.219226145762182,0.238902354256647,-0.325370206490032,-0.332087572760744,-0.221355336976306,-2.58535276414273,-0.309705476671211,0.200143432934443,0.520621037179494,-0.338430950573637,0.0711807455054524,-0.131147403574598,0.117975974469252,-0.209567185448749,0.10567401173166,1.32996209831097,-0.487779986425833,-0.662411431091191,0.0518360594644252,0.0965959706534034,-0.114165109044526,0.0257897632956316,-0.0345503351942517,-0.0754661540059303,0.0617742482562576,-0.151299061200781,0.684580399204476,0.223549244439653,0.226848336584128,0.341446160077667,0.110637902563671,0.0690726078944648
"51251",0.00082962300912204,0.501001270726461,0.0535160975722457,-1.05739165806186,-0.538421711129647,-0.584953946050817,-0.629980489923434,-0.323654460548464,0.134584504532923,0.915507918746348,0.149371558257098,0.175877767593356,0.293815567001366,1.687451361313,-0.100025549467793,-0.0151905176873275,-0.390765148937746,-0.0127355029686071,-0.284268960623579,0.324241555347289,0.0103595510928542,0.400460098786736,0.0701612529480687,0.0760156251570983,-0.0208313677051595,0.087742219135321,0.104527227347684,0.0675023514613129,0.668461905563406,-0.138847096865083,-0.79845521575126,-0.381626383142879,-0.248658684121164,-0.26410208598863,0.246186587989901,-0.23543920975073,-0.232262778244079,-0.209819698895691,-2.11432704249469,-0.567338902968135,-0.221676967725148,0.494498947440912,-0.120507491821303,0.175191162755752,-0.158246592225452,0.32310175083575,-0.206797007682865,0.158838746607374,1.98651307669935,-0.172743118847037,0.0385896249695553,-0.168299110939235,0.0471190961925767,-0.0817896257583144,-0.0307616384391934,-0.0632964370322171,0.0974016104873485,-0.0116519403650493,-0.881669413839439,0.25263018928619,0.306600354421665,0.190318018934635,0.327728047587806,0.101825105466615,0.0677349960479844
"51301",0.737855896235138,0.760670874318958,0.689608720649433,-0.53834956231724,-0.311071567470097,-0.414874965891641,-0.431965003311419,-0.577723925766756,-0.424967762764626,0.19629935965619,0.262876338019225,0.269366700169365,0.191057535007044,0.0498089607510502,-0.0944292414480015,0.404334851801065,0.327118791725571,0.0877893901628227,-0.123022035619793,-0.365329069408379,-0.264884681094735,0.100809968897417,0.0611083231423088,0.049098128941537,-0.0848493959724889,0.0464968266720165,0.117517478226023,0.0402462064423339,0.348407755523719,0.513800156682334,-0.304350834957334,-0.482800481208125,-0.230423298358249,-0.248018201643918,0.233929219324768,-0.202651494002431,-0.283073805163632,-0.209724214519629,-2.24242588523112,-1.11420692777018,-0.0889987582818909,0.30151276268078,-0.164227841303763,0.182457668939372,-0.228075116363413,0.227432698403506,-0.253557014343216,0.146204239213358,1.79284653040144,-0.377489474382823,0.145939061276125,0.0970169625794174,0.100946512494616,0.0202626388604074,-0.0466629618609596,0.011985063352617,-0.0299160493697393,0.00957614283048485,0.0568390418147214,0.138356971145641,0.1364837406419,0.192893941027887,0.308299825533767,0.0890924377022226,0.100903585687553
"51351",0.845321662483891,1.1482868877432,0.824661800713489,-0.414713420089328,0.0998646191617909,-0.00211010885292133,-0.973493575022356,-0.564116634897713,0.0319789151626946,0.435659978989588,-0.00297799055924968,0.308849952305469,-0.303121984881197,-0.240575114938884,-0.281361065340963,-0.115801197736752,-0.287914450159618,0.333132484107982,0.217491983695074,0.536339815542992,-0.780747005238823,0.113067485315114,-0.10693679701735,-0.117130431601912,0.127247853157,-0.0256470737780794,-0.065986732221669,-0.0427433733422499,-0.344505358789721,0.802784785519217,-0.435941801561795,-0.492812341759446,-0.184025733755431,-0.233462633980891,0.110979331321608,-0.133106561239825,-0.273318423365737,-0.16244479924329,-1.90576169259791,-0.242404276928433,-0.324043714082787,0.527068445035687,-0.339789661304312,0.243050095138743,-0.216305277531689,0.282818122356972,-0.341413531222597,0.217840180185339,2.24506701864241,-0.0703607131336979,8.23303539047157e-05,0.563041396002269,-0.123464182895827,0.0845856769152417,-0.0334101119583949,0.102224465140453,-0.107619163944701,0.0424773549855459,0.836488785802167,0.0499641370840146,0.0628906367703654,0.145993323352942,0.269228587202478,0.0999896632094159,0.102040605889193
"51401",0.610558947553216,0.825135908329043,0.709202403570342,-0.839343519924491,-0.768511688899862,-0.363629351796687,-1.1677579896794,-0.364703713455891,-0.292091862231205,0.281282252494847,0.417546894159201,0.560355078385607,0.453338005595265,-0.0131597370992791,0.0658008395722125,0.104591419300664,-0.267277340284198,0.44799942413612,0.360953906087432,0.484476806086478,-0.302274758511717,0.049827027769663,-0.0857361074839006,0.0116917676697003,0.0334056974589515,-0.0822179953931273,-0.109945308706804,-0.0883764868854755,-0.671165504262576,0.458194958003597,-0.177146763159824,-0.550384854051368,-0.181013443965932,-0.0677320303907312,0.158571743569202,-0.0717414042394962,-0.176981024717493,-0.131812421667388,-1.34160843525086,-0.73974818170349,-0.0891705571642299,0.446468926106539,0.0132216052683359,0.246623395670353,-0.25403204196474,0.238513430523933,-0.205704644979918,0.127404060466099,1.62821171078055,-0.548710273325226,-0.331109893441409,0.534034907028176,0.0218608884091604,0.183103375537805,0.00649481357277696,0.127062583629604,-0.117812491105782,0.0974292443453519,1.27869163763152,0.122164766072227,0.062642266332137,0.187436123311989,0.28525624604199,0.137163404484977,0.111278202370942
"51451",0.609970890359952,1.20088036386807,0.589677620731419,-0.665414063743467,-0.405575315238719,-0.705414404950624,-0.902227989107481,-0.540350223681814,0.101576923906785,0.323647206657278,0.121179413266689,0.216139988171209,0.380138898990719,-0.0490037532806501,0.055265060838467,0.107599825469053,-0.254707953811092,0.366088342722507,0.231185661766119,0.243898461392234,-0.0727360211464192,-0.256707714274998,0.212237044715649,-0.150331767360261,0.139158806126722,-0.0994250425748812,-0.10733372591122,-0.0955654983058596,-1.00160702875616,-0.0672104028985671,-0.769573556943722,-0.285093770637077,-0.156325447841071,-0.0321568418126314,0.13637783335095,-0.163017089281408,-0.265694459036792,-0.134779538614918,-1.35673724260146,-0.260059497504741,-0.107409652054174,0.172223918598341,0.0213384594371217,0.144303314474149,-0.00446559774095364,-0.0550510490846296,-0.130199527602362,0.0406496959520526,0.268905104330686,-0.309084575692947,-0.223375502010326,0.779540103263432,0.0153704656099639,0.200452372566762,-0.206360309913546,0.218396270832068,-0.317357235401977,0.0980838829558388,1.46084222393541,0.291475182407976,0.255115677063416,0.211446727516788,0.270042338430452,0.083892171613324,0.141598309398586
"51501",1.5280164570726,1.57168791873369,1.2524809585416,-0.622824809337906,-0.440692691637658,0.147884243274347,-2.27401890533405,-0.36356464902501,-0.174320654237492,0.187170396508021,0.263747688506702,0.358058545563475,0.595350987565949,0.710215690807619,0.0467963906332624,-0.0599930745587391,-0.0359107585598704,-0.136322740832179,-0.490782560422596,-0.789400050581783,0.502592498605969,0.230189624271758,0.014070568524966,0.0925531001201085,-0.155593240441858,0.0863891252524348,0.0673632665414087,0.0314661879849985,0.425774792731215,0.184147274015315,-0.346267555800684,-0.348616975473265,-0.311043435121609,-0.254555794073114,0.233535274670345,-0.27156586840954,-0.170283484556423,-0.178550475690191,-2.16182921521332,-0.149507972004625,0.182581643175008,0.216431470916743,-0.168946174423175,0.04920908977885,-0.118174566363752,0.101549188886292,-0.16341117669726,0.103613268245461,0.843950173362612,-0.763821173938082,0.179906570005026,0.571892207580918,-0.32048896458398,0.150929085355337,-0.21213131792103,0.161940663177181,-0.108810822801962,0.138730666721323,1.18362345362287,0.0106820384665036,0.0628927930453953,0.239293905735826,0.270871576089845,0.0976961128521225,0.184843038247452
